EIN2,CENSUS_CSA_FIPS,CENSUS_CBSA_FIPS,CENSUS_CBSA_NAME,CENSUS_CBSA_LEGAL_NAME,CENSUS_CBSA_LEGAL_CODE,geometry,CENSUS_BLOCK_CODE,CENSUS_BLOCK_FIPS,CENSUS_BLOCK_NAME,CENSUS_URBAN_AREA,CENSUS_URBAN_AREA_CODE,CENSUS_URBAN_AREA_TYPE,CENSUS_FUNCTIONAL_STATUS,CENSUS_BLOCK_HOUSING_UNIT_COUNT,CENSUS_BLOCK_POPULATION_COUNT,CENSUS_STATE_FIPS,CENSUS_COUNTY_FIPS,CENSUS_TRACT_CODE,CENSUS_TRACT_FIPS,CENSUS_TRACT_NAME,CENSUS_STATE_ABBR,CENSUS_COUNTY_NAME,CENSUS_STATE_NAME,ORG_FISCAL_YEAR,ORG_ADDR_FULL,ORG_ADDR_MATCH,LONGITUDE,LATITUDE,ADDR_TYPE,GEOCODER_SCORE,GEOCODER_MATCH,METADATA_VERSION,METADATA_RELEASE_DATE
EIN-00-2026961,408.0,35620.0,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-73.981098|40.755384,1001.0,360610096001001.0,Block 1001,U,63217.0,U,S,15.0,29.0,36.0,61.0,9600.0,36061009600.0,Census Tract 96,NY,New York County,New York,2010,"19 W 44TH ST STE 710,NEW YORK,NY,10036","19 W 44TH ST, NEW YORK, NEW YORK, 10036",-73.981098,40.755384,PointAddress,100.0,M,0.0,2024-06-24
EIN-00-2026985,408.0,35620.0,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-73.8331515|40.943673,1006.0,361190046001006.0,Block 1006,U,63217.0,U,S,52.0,147.0,36.0,119.0,4600.0,36119004600.0,Census Tract 46,NY,Westchester County,New York,1989,"BRONXVILLE,NY,10708-1502","10708-1502, BRONXVILLE, NEW YORK",-73.8331515,40.943673,PostalExt,100.0,M,0.0,2024-06-24
EIN-00-2027121,408.0,35620.0,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-73.975415|40.7861300000001,4000.0,360610169004000.0,Block 4000,U,63217.0,U,S,311.0,532.0,36.0,61.0,16900.0,36061016900.0,Census Tract 169,NY,New York County,New York,1989,"NEW YORK,NY,10024-3844","10024, NEW YORK, NEW YORK",-73.975415,40.7861300000001,Postal,100.0,M,0.0,2024-06-24
EIN-00-2027124,408.0,35620.0,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-74.214828|40.674852,2003.0,340390317002003.0,Block 2003,U,63217.0,U,S,66.0,137.0,34.0,39.0,31700.0,34039031700.0,Census Tract 317,NJ,Union County,New Jersey,1989,"ELIZABETH,NJ,07208-2298","07208-2298, ELIZABETH, NEW JERSEY",-74.214828,40.674852,PostalExt,100.0,M,0.0,2024-06-24
EIN-00-2027159,408.0,35620.0,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-73.99089|40.73985,1001.0,360610054001001.0,Block 1001,U,63217.0,U,S,57.0,111.0,36.0,61.0,5400.0,36061005400.0,Census Tract 54,NY,New York County,New York,1989,"NEW YORK,NY,10010-7002","10010-7002, NEW YORK, NEW YORK",-73.99089,40.73985,PostalExt,100.0,M,0.0,2024-06-24
EIN-00-2027178,408.0,35620.0,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-73.9887615|40.744692,1000.0,360610058001000.0,Block 1000,U,63217.0,U,S,55.0,85.0,36.0,61.0,5800.0,36061005800.0,Census Tract 58,NY,New York County,New York,1989,"NEW YORK,NY,10001-7510","10001-7510, NEW YORK, NEW YORK",-73.9887615,40.744692,PostalExt,100.0,M,0.0,2024-06-24
EIN-00-2027310,408.0,35620.0,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-73.973605|40.75192,1000.0,360610088001000.0,Block 1000,U,63217.0,U,S,613.0,741.0,36.0,61.0,8800.0,36061008800.0,Census Tract 88,NY,New York County,New York,1989,"NEW YORK,NY,10017-3597","10017, NEW YORK, NEW YORK",-73.973605,40.75192,Postal,100.0,M,0.0,2024-06-24
EIN-00-2027451,408.0,35620.0,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-73.9784099999999|40.7590200000001,1006.0,360610104001006.0,Block 1006,U,63217.0,U,S,1.0,5.0,36.0,61.0,10400.0,36061010400.0,Census Tract 104,NY,New York County,New York,1989,"NEW YORK,NY,10020-0000","10020, NEW YORK, NEW YORK",-73.9784099999999,40.7590200000001,Postal,100.0,M,0.0,2024-06-24
EIN-00-2027585,408.0,35620.0,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-74.1499785|40.553163,2023.0,360850146052023.0,Block 2023,U,63217.0,U,S,33.0,87.0,36.0,85.0,14605.0,36085014605.0,Census Tract 146.05,NY,Richmond County,New York,1989,"STATEN ISLAND,NY,10308-2060","10308-2060, STATEN ISLAND, NEW YORK",-74.1499785,40.553163,PostalExt,100.0,M,0.0,2024-06-24
EIN-00-2027712,408.0,35620.0,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-73.98243|40.780737,4001.0,360610163004001.0,Block 4001,U,63217.0,U,S,365.0,660.0,36.0,61.0,16300.0,36061016300.0,Census Tract 163,NY,New York County,New York,1989,"NEW YORK CITY,NY,10023-2170","10023-2170, NEW YORK, NEW YORK",-73.98243,40.780737,PostalExt,100.0,M,0.0,2024-06-24
